cov_nr,arm,n,time_total_days,diagnosis,gender_pct_female,age_mean,age_sd,age_se,fev1_pct_mean,fev1_pct_sd,age_other,healthcare_setting,health_literacy,digital_literacy,ses,educational_level,ethnicity
4108,treat1,8,180,COPD,63.0,64.0,12.0,,34.4,15.0,,3,,Computer user 7 (78%),Married/partnered 2 (22%),College educated or higher 6 (67%),"Caucasian 8 (89%)
African-American 1 (11%)"
4123,control,11,84,COPD,0.0,65.0,5.0,,56.0,12.0,,3,,"Computer % (N)
Used in past 90.91% (10)
In home 72.73% (8)","VA! 
Income % (N)
< $10,000 18.18% (2)
$10,000 - $19,999/yr 36.36% (4)
$20,000 - $39,999/yr 36.36% (4)
\>$40,000/yr 9.09% (1)

Lives alone % (N)
45.45% (5)

MOS Social Support Score 54.9 SE 7.0","Education % (N)
<12 years 0% (0)
2 years 18.18% (2)
\>12 years 81.82% (9)","White 54.55% (6)
Black 36.36% (4)
Asian 9.09% (1)"
4123,treat1,11,84,COPD,0.0,64.0,8.0,,55.0,16.0,,3,,"Computer % (N)
Used in past 81.82% (9)
In home 72.73% (6)","VA!
Income % (N)
< $10,000 27.27% (3)
$10,000 - $19,999/yr 27.27% (3)
$20,000 - $39,999/yr 36.36% (4)
\>$40,000/yr 9.09% (1)

Lives alone % (N)
63.64% (7)

Mos Social Support Score 67.8 SE 6.4","Education
<12 years 0% (0)
2 years 18.18% (2)
>12 years 81.82% (9)","White 72.73%  (8)
Black 27.27% (3)
Asian 0% (0)"
4194,control,40,365,COPD,40.0,71.0,8.0,,59.0,17.0,,3,C&CHL (Swedish Critical Health Literacy Scale) 85.1%,,"Employment status
Currently working 5 (13%)
Retired 34 (85%)
Sickness benefits 1 (2%)

Living with
Alone  23 (58%)
Family  17 (42%)","Education level
Primary 22 (55%)
Secondary 10 (25%)
Tertiary  8 (20%)",
4194,treat1,43,365,COPD,48.0,65.0,7.0,,60.0,17.0,,3,C&CHL (Swedish Critical Health Literacy Scale) 76.9%,,"Employment status
Currently working 10 (23%)
Retired 33 (67%)
Sickness benefits 0 (0%)

Living with
Alone 20 (47%)
Family 23 (53%)","Education level (sweden)
Primary 26 (60%)
Secondary 7 (17%)
Tertiary 10 (23%)",
4337,control,60,365,COPD,68.0,68.6,6.8,,28.5,,,3,,,,,
4337,treat1,60,365,COPD,68.0,67.8,6.4,,28.6,,,3,,,,,
4345,control,20,180,COPD,30.0,65.06,11.12,,69.45,24.02,,3,,,"Income (monthly)
< $1000 8 (44.4%)
≥$1000 10 (55.6%)

Living situation
Alone 
0 (0%)
Married or living with someone
20 (100%)

Working
9 (45.0%)","Education
Middle high school & less
9 (45.0%)
High school & higher
11 (55.0%)",
4345,treat1,22,180,COPD,13.6,70.45,9.4,,61.0,18.73,,3,,,"Income (monthly)
< $1000 8 (36.4%)
≥$1000 14 (63.6%)

Living situation
Alone 
2 (9.1%)
Married or living with someone
20 (90.9%)

Working
5 (22.7%)","Education
Middle high school & less 9 (40.9%)
High school & higher 13 (59.1%)",
4475,control,128,365,COPD,51.0,68.4,8.4,,40.0,17.0,,3,MARS 23.8 SD1.8,,,,
4475,treat1,128,365,COPD,59.0,69.4,8.8,,44.0,18.8,,3,MARS 24.0 SD2.1,,,,
4724,control,67,90,COPD,31.3,63.4,11.0,,,,,3,"Health literacy
Extremely 39 (58.2)
Quite a bit 13 (19.4)
Somewhat 8 (11.9)
A little bit 2 (3.0)
Not at all 5 (7.5)

Wallace LS, Rogers ES, Roskos SE, et al. Brief report: screening items to identify patients with limited health literacy skills. J Gen Intern Med. 2006; 21(8): 874-7.",,"Marital status
Married 27 (40.3)
Not married 40 (59.7)

Respondent
Patient 57 (85.1)
Proxy 10 (14.9)

Financial security
No 21 (31.3)
Yes 45 (67.2)","Education
<High school 18 (26.9)
High school/GED 29 (43.3)
Some college 12 (17.9) 
≥College graduate 8 (11.9)","Race
White 45 (67.2)
Black/other 22 (32.8)"
4724,treat1,65,90,COPD,58.5,63.8,10.9,,,,,3,"Health literacy
Extremely 35 (53.8)
Quite a bit 10 (15.4)
Somewhat 8 (12.3)
A little bit 6 (9.2)
Not at all 6 (9.2)",,"Marital status
Married 31 (47.7)
Not married 34 (52.3)

Respondent
Patient 53 (81.5)
Proxy 12 (18.5)

Financial security
No 24 (36.9)
Yes 41 (63.1)

","Education
<High school 18 (27.7)
High school/GED 27 (41.5)
Some college 13 (20.0) 
≥College graduate 7 (10.8)","Race
White 44 (67.7)
Black/other 21 (32.3)"
4727,control,172,365,COPD,43.0,72.22,,0.592,,,,3,,,,"Level of education (imputed, 0 = no formal education, 1=GCSE, 2= A=level, 3=Uni, 4= Grad)
0.66 (SE 0.061)","White British/Irish 96% (243) 
Non-White 4% (10)"
4727,treat1,275,365,COPD,44.0,71.49,,0.506,,,,3,,,,"Level of education (imputed, 0 = no formal education, 1=GCSE, 2= A=level, 3=Uni, 4= Grad)
0.72 (SE 0.061)","White British/Irish 96% (321) 
Non-White 4% (13)"
4736,control,78,180,COPD,8.0,70.4,7.3,,61.5,19.8,,3,BCKQ 46.1 SI 16.2,,"VA! 
MOS-SS 76.8 SD 23.8
Annual income <USD 30 000, % (n) 44% (34)
Rural 14% (11)",Greater than high school 81% (63),White 89% (69)
4736,treat1,75,180,COPD,7.0,69.2,7.2,,60.6,23.1,,3,BCKQ 46.9 SI 15.1,,"VA! 
MOS-SS 69.4 SD 27.7
Annual income <USD 30 000, % (n) 43% (43)
Rural 5% (4)",Greater than high school 71% (53),White 92% (69)
4876,control,33,365,COPD,54.4,68.07,,1134.0,,,,3,,,"Living alone
24 (42.1%)
Home nurse
12 (21.1%)",,
4876,treat1,39,365,COPD,73.7,69.0,,1169.0,,,,3,,,"Living alone
28 (49.1%)
Home nurse
9 (15.8%)",,
4876,treat2,37,365,COPD,64.4,68.64,,1161.0,,,,3,,,"Living alone
19 (32.2%)
Home nurse
17 (28.8%)",,
4986,control,22,42,COPD,63.0,73.0,9.6,,44.0,15.1,,3,,,"Living with a partner [n (%)]5 (23)
Retired [n (%)]  18 (81)","Basic schooling [n (%)]
7 years or less 7 (32)
8–9 years  2 (9)  
10 years 11 (50)  
High school  2 (9)

Higher education [n (%)]  
None 1 (5)  
Vocational  13 (59)
University 8 (36)",
4986,treat1,21,42,COPD,55.0,68.0,11.7,,39.0,19.6,,3,,,"Living with a partner [n (%)] 8 (36)
Retired [n (%)] 20 (90)","Basic schooling [n (%)]
7 years or less 10 (45)
8–9 years 3 (14)
10 years 6 (27)
High school 3 (14)

Higher education [n (%)]  
None 4 (18)
Vocational 14 (64)
University 4 (18)",
5203,control,114,365,COPD,17.5,71.3,8.9,,32.2,8.8,,2,,,"With care taker, n (%) 79 (69.3)

Home status, n (%)
Alone 3 (2.6)
With partner 75 (65.8)
With other relatives 15 (13.2)
Other situation 21(18.4)","Education level. n (%)
Unschooled 9 (7.9)
Primary  58 (50.9)
Secondary 30 (26.3)
University 17 (14.9)",
5203,treat1,115,365,COPD,21.7,71.5,8.0,,34.2,9.1,,3,,,"With care taker, n (%) 88 (76.5)

Home status, n (%)
Alone 3 (2.6)
With partner 84 (73.0)
With other relatives 10 (8.7)
Other situation 18 (15.7)","Education level. n (%)
Unschooled 19 (16.5)
Primary 47 (40.9)
Secondary 30 (26.1)
University 19 (16.5)",
5232,control,33,180,COPD,48.0,72.78,9.16,,,,,3,BCKQ -> evt visueel in plot supps,Never used technology (%) 68,Patients with caregiver (%) 75,,
5232,treat1,36,180,COPD,44.0,71.76,7.28,,,,,3 Self monitor,BCKQ -> evt visueel in plot supps,Never used technology (%) 78,Patients with caregiver (%) 83,,
